"x"
"Cirroxylocopa_vestita_LV12_UCE"
"Dasyxylocopa_bimaculata_LV15"
"Dasyxylocopa_piligera_LV19"
"Diaxylocopa_truxali"
"Ioxylocopa_chrysopoda_LV09"
"Megaxylocopa_fimbriata_LV26"
"Megaxylocopa_frontalis"
"Megaxylocopa_nautlana_LV25_UCE"
"Monoxylocopa_abbreviata_LV01"
"Nanoxylocopa_ciliata_LV08"
"Neoxylocopa_aeneipennis"
"Neoxylocopa_amazonica"
"Neoxylocopa_andica"
"Neoxylocopa_augusti"
"Neoxylocopa_aurulenta_LV13_UCE"
"Neoxylocopa_brasilianorum"
"Neoxylocopa_bruesi"
"Neoxylocopa_carbonaria"
"Neoxylocopa_caribea"
"Neoxylocopa_cearensis"
"Neoxylocopa_clarionensis"
"Neoxylocopa_cubaecola"
"Neoxylocopa_darwini"
"Neoxylocopa_grisescens"
"Neoxylocopa_gualanensis"
"Neoxylocopa_haematospila"
"Neoxylocopa_hirsutissima_LV28_UCE"
"Neoxylocopa_lachnea"
"Neoxylocopa_mastrucata"
"Neoxylocopa_mendozana"
"Neoxylocopa_mexicanorum"
"Neoxylocopa_mordax"
"Neoxylocopa_nigrocincta"
"Neoxylocopa_ordinaria"
"Neoxylocopa_rufidorsum"
"Neoxylocopa_sonorina"
"Neoxylocopa_tacanensis"
"Neoxylocopa_tegulata"
"Neoxylocopa_transitoria"
"Neoxylocopa_varipuncta"
"Neoxylocopa_wilmattae"
"Notoxylocopa_guatemalensis_LV20_UCE"
"Notoxylocopa_tabaniformis"
"Schonnherria_anthophoroides"
"Schonnherria_barbatella"
"Schonnherria_charapensis"
"Schonnherria_dimidiata"
"Schonnherria_ecuadorica"
"Schonnherria_grossa"
"Schonnherria_lateralis"
"Schonnherria_loripes"
"Schonnherria_lucida"
"Schonnherria_macrops_LV31_UCE"
"Schonnherria_micans"
"Schonnherria_muscaria_LV11_UCE"
"Schonnherria_ornata_LV16_UCE"
"Schonnherria_piurensis"
"Schonnherria_pulchra_LV30"
"Schonnherria_simillima"
"Schonnherria_splendidula"
"Schonnherria_subcyanea"
"Schonnherria_subvirescens"
"Schonnherria_varians"
"Schonnherria_viridigastra_LV29_UCE"
"Schonnherria_viridis"
"Stenoxylocopa_artifex"
"Stenoxylocopa_lehmanni"
"Stenoxylocopa_micheneri"
"Stenoxylocopa_nogueirai_LV22_UCE"
"Stenoxylocopa_silverai_LV21"
"Stenoxylocopa_strandi"
"Stenoxylocopa_urbanae_LV27"
"Xylocopina_ruficollis_LV18"
"Xylocopoda_elegans_LV10"
"Xylocopoda_madida_LV17"
"Xylocopsis_funesta"
"Xylocospila_bambusae_LV23_UCE"
